season,last_name,first_name,average_minutes,usage,games_played,points_per30,true_shooting_proportion,free_throw_rate,three_point_rate,assists_per30,turnovers_per30,offensive_rebounds_per30,defensive_rebounds_per30,steals_per30,blocks_per30,fouls_per30,pounds_per_inch,height_inches
2005,Pellot-Rosa,Jesse,23.5,16.52496785241991,32,8.446215139442232,0.5226824457593688,0.34516765285996054,0.3254437869822485,1.3944223107569722,1.4342629482071714,2.350597609561753,3.5856573705179287,1.2749003984063745,0.7968127490039841,2.4302788844621515,2.5657894736842106,76
2005,Harper,Alexander,24.9,14.00433277761257,32,7.151819322459223,0.6201044386422977,0.35900783289817234,0.42428198433420367,2.9736511919698874,2.2961104140526976,0.41405269761606023,4.51693851944793,1.618569636135508,0.07528230865746549,2.710163111668758,2.5,76
2005,Roland,Calvin,16.4,17.138074694940304,31,7.913385826771653,0.48173712970951965,0.40983606557377045,0.00719010641357492,1.1811023622047243,1.6535433070866141,2.0669291338582676,3.248031496062992,0.5314960629921259,2.18503937007874,4.015748031496063,2.9878048780487805,82
2005,Reid,Derrick,17,14.129222087773922,30,6.75146771037182,0.5108386638237384,0.21321961620469082,0.00888415067519545,0.9980430528375733,1.5264187866927592,2.1135029354207435,2.583170254403131,1.0567514677103718,0.29354207436399216,5.2250489236790605,2.6875,80
2005,Dixon,Renardo,10.8,23.21130369053721,32,8.782608695652174,0.4018141311266709,0.17504774029280712,0.2784850413749204,1.1304347826086958,2.434782608695652,1.5652173913043477,3.217391304347826,1.217391304347826,1.217391304347826,4.173913043478261,2.5925925925925926,81
2005,Shuler,Jamal,6.3,24.10184421474407,20,10.476190476190476,0.4290171606864274,0.23400936037441497,0.62402496099844,2.8571428571428568,1.6666666666666665,0.9523809523809523,4.0476190476190474,1.1904761904761905,0.47619047619047616,1.6666666666666665,2.4,75
2005,Anderson,Michael,7.9,15.342518197854424,26,5.7073170731707314,0.3950567260940032,0.3849270664505673,0.22285251215559157,1.3170731707317072,1.6097560975609755,1.7560975609756098,2.4878048780487805,0.43902439024390244,1.024390243902439,2.7804878048780486,2.4050632911392404,79
2005,Faulk,Sam,8.8,8.307444176145829,24,3.2857142857142856,0.46977124183006536,0.6944444444444444,0,0.7142857142857142,1.2857142857142858,1.5714285714285714,4.142857142857143,0.7142857142857142,2.142857142857143,5,2.6875,80
2005,Capel,Julian,6.3,9.258702168019159,15,1.8947368421052633,0.2525252525252525,0.16835016835016833,0.2525252525252525,3.473684210526316,1.5789473684210527,0,2.2105263157894735,0.631578947368421,0,3.1578947368421053,2.4025974025974026,77
2006,George,Nick,29.6,31.81493627204129,29,17.15983224603914,0.5821950294061847,0.348605577689243,0.2632327831531019,1.2931034482758619,3.0055917986952467,1.5377446411929168,3.5997204100652374,1.2931034482758619,0.13979496738117428,1.3280521901211555,2.628205128205128,78
